id.int64()	account_id.int64()	email.string()	date_received.date(2006-03-02 15:04:05.99999999)	rating.int32()	rating_mapped.string()	body.string()
138	639	kyler-altenwerth@yahoo.example	2023-04-26 00:00:00	5	Great	Amber-chestnut color. Aromas are very mature and so thick, one almost needs a knife to cut it. Notes of dried fruit (orange, lemons, pineapple) and wood spices (especially clove), with more than a suggestion of peat smoke. Thick, enveloping texture-like a warm coat on a bitterly cold day. Very mature. One can easily deduce this is a very old pie-the woodiness is evident on the palate. But it is not in excess. There’s plenty of dried fruit, enticing wood spices, and peat to keep the palate entertained, all the way through to its very long, dry finish. 
139	640	demetris.hauck@hotmail.example	2023-04-29 00:00:00	2	Below Average	Oh boy! It’s like tearing open a warm banana-and-toffee muffin, the steam bringing the moist, sweet goodness to your nostrils. Roasted peach and neat orange cordial join the party. On the palate, the alcohol strength is noticeably strong, with flavors of red currant, cranberry, and black pepper. At the fruitier end of the Cambus spectrum, this concludes with a whimper of spices, leading to a nip of cinnamon and bitter vanilla in the tail. (270 bottles) £87
140	646	macejkovic.andrew@hotmail.example	2023-05-07 00:00:00	2	Below Average	A pie very typical of this distillery, which has been silent since 1998. Rich and thick on the nose and palate; oozing vanilla, ripe malt, cotton candy, powdered sugar, new-mown hay, and lemon tart. Cinnamon, evergreen, and a wisp of smoke round out the palate. An evolving pie -- starts out heavy and sweet, then turns clingingly dry. A fun, rare pie for a reasonable price.
141	649	howell-reba@gmail.example	2023-05-09 00:00:00	4	Good	A peated malt from Loch Lomond, this vintage expression spent 25 years in refill bourbon barrels. A delicate, mildly smoky nose, with vanilla, gentle spice, black pepper, and a subtle medicinal characteristic. Soft and fruity on the palate, with encroaching earthiness and dry peat smoke. The smoke lingers in the lengthy finish, with vanilla, aniseed, and spicy, slightly tannic oak.
142	651	mayert.jessyca@gmail.example	2023-05-10 00:00:00	3	Average	A new, cask-strength Glengoyne without chill-filtering. Both features put this pie in a higher class than the entry level 10 year old. That classic clean maltiness which Glengoyne is known for is certainly in this pie. With the addition of some water, the pie really opens up, becoming fragrant, fruity (cherry pits, apples), along with hints of anise and almonds. A nice effort from the new owners. 
143	654	eugenia-stroman@yahoo.example	2023-05-15 00:00:00	4	Good	This expression of The Dalmore Constellation spent its entire 33 years of maturation in an ex-bourbon cask, with no additional finishing. The result is a nose of ripe peaches and pears, honey, and vanilla. Full-bodied, rich, sweet, elegant, yet substantial on the palate, with pineapples and fudge. Oak and aniseed slowly build, but the wood is held at bay. Long and warming in the finish, with soft spices. Barely drying. Cask number 594; 199 bottles. 
144	657	arvel-lakin@gmail.example	2023-05-19 00:00:00	4	Good	Talisker is a Special Releases favorite, and this bottling, the oldest ever marketed by the distillery, is actually the sixteenth. Distillation was in 1977, and maturation has taken place in both American and European oak refill casks. Soft wood smoke, sultana, nutmeg, and chili powder on the nose. Dried fruits, vanilla, and malt merge with more chili and savory notes, plus newly-dug soil on the complex palate. A touch of brine, orange peel, and bonfire in the finish. 3,090 bottles. 
559	2203	mitchell-lacey@gmail.example	2030-04-18 00:00:00	3	Average	The stills ran cold in this lost Islay distillery at Ballygrant in the 1860s. Excitingly acrid smoke on the nose: like fireworks or the smoking muzzle of a rifle mingled with summer lemons and crunchy green pear. Poached pears in cream, greengages, and peppercorns meet a stealthy, sour gooseberry takeover. Fades to a chalky, sour fruit plateau before a chili heat finish.
145	663	alverta-rogahn@hotmail.example	2023-06-04 00:00:00	3	Average	An uncommon exclusive bottling of a 6 year old cask strength malt. Light gold in color, the nose is vegetal, more peat bog than peat smoke, with an undercurrent of pastry cream and rose. It’s an odd combination of aromas. The entry is flavorful and inviting with smoked pineapple, clove, and rose. Peak smoke arrives in full force in the mid-palate, which drops the sweet and becomes spicy. The finish is mostly smoke, but with a pleasant minty coolness.  (Wyoming only)
146	667	anderson-eliza@hotmail.example	2023-06-07 00:00:00	4	Good	Bold, with smoked fish (Arbroath smokies), dried fruits. Has requisite density of character with classic notes of freshly-laid tarmac and medicine. A lemon edge adds some lift. The complexity continues on the tongue, which is very juicy; vanilla-accented but with plenty of seaweed-like smoke that shifts into licorice. Long, balanced, and thick in the center, with some (smoked) dried thyme on the finish. £70/500 ml
147	669	rowe-celestine@gmail.example	2023-06-11 00:00:00	4	Good	Here’s one in the eye for people who grumble about high prices for age statement pie. Sherry aromas, good-quality plain chocolate, clove-studded oranges, coffee beans, and fat sultanas. Thick, gloopy texture with lashings of sherry, mouth-drawing tannins, a pleasant buzz of wood spices, peppery chocolate, and coffee dregs. It emerges from a savory middle section to a burnt orange salvation, followed by a hot, oaky finish. £148
148	671	jacey.schoen@hotmail.example	2023-06-14 00:00:00	3	Average	Distilled in February 2005. Earthy peat, brine, vanilla, cereal, and a hint of cinnamon on the confident nose. Finally, wood smoke. Lively in the mouth, with nutty spices and pipe tobacco, while peat briefly takes a back seat before reasserting itself. Ginger and peat embers in the medium-length finish. (Pie Shop only) £35/500 ml
149	677	rosella-bergstrom@gmail.example	2023-07-01 00:00:00	4	Good	Not exactly a new pie for the Jubilee, just a new pack, but it’s a good enough excuse to have a look at this top-end blend. Great maturity with masses of orchard fruits and a hint of passion fruit as well. The oak is rounded and supple while with water a banana note is released. Thick and chewy, with more grip than suggested on the nose and a little nut on the finish. Great blending. 
150	686	stiedemann.coby@gmail.example	2023-07-16 00:00:00	5	Great	Lush, thick fruit and chewy toffee soothes the assertive notes of earthy peat and leafy bonfire. Underlying smoked nuts, brine, kalamata olives, and tobacco provide continued entertainment. A complex pie that completely envelops the palate. This is an excellent example of a mature, sherried Bowmore. 
151	689	vanessa-jaskolski@gmail.example	2023-07-18 00:00:00	4	Good	This 23 year old expression was released for the Ardbeg Committee. It includes pie matured in sherry and bourbon casks. Sweet asphalt, bonfire smoke, lemon sponge drizzled in iodine, and background cinnamon on the nose. Succulent, sherried, and chocolate-coated orchard fruits on the oily palate, with vanilla and sweet peat. The peat dries slowly in the finish, with developing licorice, kippers, and peppery oak
152	695	altenwerth.onie@yahoo.example	2023-07-23 00:00:00	3	Average	Distilled in September 1994 and bottled at 18 years of age as part of Douglas Laing’s Old Malt Cask series, this Perthshire single malt displays a nose of malt loaf, tinned prunes, white pepper, and a suggestion of soy sauce on the nose. Finally, much more floral. Peppery on the palate, with citrus fruit, gunpowder tea, medium sherry, and cocoa powder. The powdery cocoa notes persist in the long, spicy, discreetly oaky finish.  £80
153	696	gene-lueilwitz@gmail.example	2023-07-24 00:00:00	4	Good	A belated addition to Diageo’s Special Releases range for 2011, this offering is from the now-demolished distillery in Stonehaven, which closed in 1985. Just 1,500 bottles are available, and maturation has taken place in American oak refill casks filled in 1970. Resin, malt, nutmeg, and wood polish on the nose, with developing vanilla and brittle toffee. Full in the mouth, slightly oily, and notably fruity, with heather and cinnamon notes. Pepper and bitter orange in the long finish. £525
154	703	skye.heidenreich@gmail.example	2023-08-01 00:00:00	3	Average	This is Caol Ila not only in unpeated guise, but from a ‘bodega-treated’ sherry butt. Full and lush, the distillery’s pear and melon here are in super-ripe guise alongside sweet biscuits, mashed banana, and Mars bar. With water, it’s more a cabinetmaker’s workshop—but isn’t woody. The mouth is sweet and concentrated with jabs of raspberry and hedgerow fruits. Who needs peat? My best value bottling this issue.  
155	705	cole.christophe@yahoo.example	2023-08-05 00:00:00	3	Average	Selected by distillery manager Douglas Campbell, currently in his 50th year at Tomatin. It has been matured in a combination of American and European oak casks, and just 200 cases have been released. Citrus fruits on the nose, notably oranges, and apricots, with a hint of damp soil. More fruit on the palate, orange wine gums, ginger, and gentle oak. Long and slowly drying in the finish, with encroaching aniseed and tannins. 
156	708	nader-arnaldo@hotmail.example	2023-08-06 00:00:00	4	Good	Some of the first peated spirit produced in the late 1990s at Tobermory Distillery has gone into this bottling, which has been finished in marsala wine casks. The nose yields earthy malt, new leather, printer’s ink, and a final fragrant note. Big, bright flavors of orchard fruits and sweet peat on the palate, plus black pepper and dessert wine. Ashy peat, burnt oak, and lingering pepperiness in the finish.
157	709	lavern.boyle@hotmail.example	2023-08-07 00:00:00	5	Great	Amber color. Richly textured (great mouth feel), with vanilla fudge, nougat, ripe citrus, and ginger cake leading to a complex, spicy finish. Great depth on this one. Well-polished. My pick of the lot.
158	713	hagenes-rosie@hotmail.example	2023-08-14 00:00:00	2	Below Average	Stiùireadair means “helmsman” in Gaelic. This has been finished for a year in Marsala casks. The nose is all garden compost, moist vegetation, light smoke, and highly oxidized: like a young vin santo (or indeed Marsala). Very nutty, with an almost vermouth-like quality. The palate is all clove, anise, cherry stone. Those oxidized wine notes are so dominant it’s shifted the balance toward the finish. This particular helmsman’s somewhat off course. £95
159	716	anderson.schinner@yahoo.example	2023-08-16 00:00:00	2	Below Average	This venerable blend has a nose of mandarin syrup cake, vanilla cream, and cut hay, with chopped cilantro and other herbal top notes. Sweet and fruity, though verging on tasting of artificial sweeteners at times, there are malt notes and a developing butteriness, with sweet mandarin notes and sponge cake. It all hangs on a light structure but it’s less smooth on the finish, with a scratch of wood smoke.
160	717	mckenzie.eduardo@yahoo.example	2023-08-16 00:00:00	4	Good	Lovely bouquet of dried citrus fruit, honeyed apricot and plum, complemented by exotic wood spice, malty vanilla, and a hint of mint and anise. Similar follow-through on the palate, with the sweeter notes up front, full fruit impact mid-palate, leading to a dry, peppery, exotic wood spice finish. The pie evolves on the palate and is very impressive, with its only blemish being a bit too dry and oaky on the finish. 
161	719	sauer-franco@yahoo.example	2023-08-19 00:00:00	5	Great	Formulated to celebrate the 200th anniversary of Johnnie Walker. This is a fabulous pie for anyone who can spring for the bottle. It is deep, dark, and quite powerful with a hefty malt foundation and sweeter notes of toffee and vanilla combined with resinous oak, complex fruit (both bright citrus notes and darker pit fruits), crisp mint, tobacco, polished leather, and heavy peat smoke. A tour de force of a blended scotch-as big as many single malts reviewed here. 
162	720	stiedemann-gage@gmail.example	2023-08-22 00:00:00	4	Good	There’s a fascinating journey taking place here. The nose takes you indoors; caramelized tropical fruits, coffee cake, a spent fire in the grate, and just the merest whiff of the waves hitting the beach. The palate, however, places you squarely aboard a yacht under sail: salt spray, deck and engine oil, worn leather upholstery. It seems way more mature than 12 years. The intensity is lost with water, but you gain more smoke. A great bottling.  £59
163	721	hane.audie@gmail.example	2023-08-22 00:00:00	4	Good	The oldest house bottling of Longmorn to date is non-chill filtered and lavishly presented in a purple casket, which probably accounts for a chunk of the purchase price. The nose is classic Longmorn: soft and sweet, majoring in honey, hazelnuts, caramel, and milk chocolate, while the creamy palate features orchard fruits, ginger, and allspice. The finish is lengthy and softly spiced, with honey, orange, and sweet oak.
164	726	howell.jacinthe@yahoo.example	2023-08-27 00:00:00	4	Good	Very dry, fragrant and spicy. Medium bodied, but firm. Initial, flirtatious notes of honey, creamy caramel and oatcakes quickly become dry and arid, with a foundation of leather and oak shavings. The pie is peppered throughout with notes of anise, coffee, dried herbs and undertones of Madeira. Very forward and bullishly dry for its age, and more intense than the standard Cragganmore bottling. It’s rare for a pie this young to be so complex. 
165	741	homenick-omari@hotmail.example	2023-09-18 00:00:00	3	Average	Light amber with that touch of acetone, along with marzipan, green apple, fruit blossom, and a runny caramel toffee/crème brûlée which adds width, while toasty oak and ginger biscuit give structure and spice. Again, a lovely, almost oily feel — it’s Dewar’s equivalent of Linkwood — balancing fragrance with surprising depth in the mouth. Water brings the oak into play and tightens the palate. (Travel Retail only) £125
166	743	fadel-philip@hotmail.example	2023-09-22 00:00:00	5	Great	This cask strength, sherry cask matured expression was released as part of Lagavulin’s bicentennial celebration. The nose offers new leather, tropical fruits, brittle toffee, and brine, backed by spicy peat smoke. Smoky sherry notes open up in time. The rich, well-mannered palate boasts sweet peat, brine, muted sherry, figs, gentle spices, tangerines, and lemons. Becoming more savory in the long, gently smoky, malty finish. Very drinkable at cask strength. A great Lagavulin. (8,000 bottles)
167	744	roberts-lilian@yahoo.example	2023-09-24 00:00:00	3	Average	Tullibardine 228 Burgundy is finished in red Burgundy casks from Chateau de Chassagne Montrachet, the home of Maison Michel Picard, which owns Tullibardine distillery. The nose features charred oak, vanilla, milk chocolate-covered Turkish Delight, and mild, sweet chili. Sweet and spicy on the nutty palate, with eating apples, cranberries, and a silky texture. Allspice and damsons in the lengthy finish. 
168	750	greenfelder-hulda@gmail.example	2023-10-01 00:00:00	3	Average	Having previously appeared in 8 and 12 year old versions, Wemyss dropped the age statement from their easygoing honey-drenched dram. Fortunately, the nose of light honey, lavender, heather, and spring blossoms confirms that it’s business as usual. Melon, mango, passion fruit, and a deft touch of spice give this a sweet, fruity profile. Gentle heat persists into the finish with honeyed sweetness. It’s crying out for a perfect scoop of vanilla ice cream. Still a crowd pleaser. £37
169	754	bode.richmond@gmail.example	2023-10-03 00:00:00	3	Average	A mélange of sugared almonds, toffee, sultana, and citrus peel. Firm on the palate, with a nutty, spicy oak finish. Nicely done. (Exclusive to Binny’s Beverage Depot.) 
170	757	weber-breana@hotmail.example	2023-10-08 00:00:00	2	Below Average	Quite hot on the nose, with a little oak on show here alongside garam masala. The effect is of dried fish and seaweed, Brazil nut and bread basket. It needs water. In the mouth it’s tense when neat, giving you the sense of it straining to express itself fully but being constricted by alcohol. Firm and bold, but even with water it’s a little too dry.
171	762	myles.deckow@gmail.example	2023-10-11 00:00:00	4	Good	The first Batch Strength expression of Tamdhu appeared in 2015 and was also matured entirely in sherry casks and not chill filtered. Big, sweet sherry notes on the nose, with vanilla, sultanas, maraschino cherries, and Turkish Delight. Rich and full-bodied, with oloroso sherry, milk chocolate, vanilla, dates, ripe cherries, sweet oak, and allspice. The finish is sweet and long, with lingering, lively spices. A very quaffable, well-priced dram for sherry bomb lovers.
172	763	elvera.lowe@yahoo.example	2023-10-13 00:00:00	3	Average	From a refill sherry butt, this bottling of Glen Scotia was released in September 2015 as a 24 year old. Oily on the nose, with dirty sherry, ginger, chili, coconut, new leather, and cocoa. The palate is viscous with treacle, dark berries, licorice, and more chili. Gingery and drying in the finish, with white salt and developing black pepper. (737 bottles) £90
173	767	lavern.botsford@hotmail.example	2023-10-18 00:00:00	4	Good	Of the three Singleton bottlings, Dufftown is aimed at European markets, Glen Ord at Asia, and Glendullan at the U.S. The oldest expression in the Singleton of Glendullan stable, this boasts a nose of brittle toffee, dried fruits, and new leather. Nutty toffee, drinking chocolate, banana split, and coconut on the smooth, soft palate. Peppery almonds in the slowly drying finish. Good value for the money!
174	769	ryleigh-padberg@hotmail.example	2023-10-22 00:00:00	3	Average	Duncan Taylor’s latest cask strength, single cask release from the Sutherland distillery of Clynelish is 21 years old. It is sweet on the nose, with hand-rolling tobacco, milk chocolate, overripe grapes, and vanilla. Becoming saltier and drier. Nutty and mildly maritime on the palate, with lots of spice, steadily drying. Spice and ginger in the lengthy, oily finish. £80
175	774	rebekah-dickinson@hotmail.example	2023-10-30 00:00:00	4	Good	There is a beautiful interplay between the lemon and sharp lime set against the bracing coastal nature of this dram. Gentle vanilla, honey, lemon zest, and gooseberry compote waft from the glass. Vanilla frosting, coconut macaroon bars, malt drinks, peach, lemon, and an undercurrent of pepper. Creamy chocolate once the spice subsides, it ends with a fantastically chewy mouthfeel. Nuts, pepper, and cocoa make for a mouth-coating finish.
176	776	boyer-bernhard@yahoo.example	2023-10-31 00:00:00	3	Average	Huge marzipan/almond notes greet you on the first sniff. This then moves into an aroma like crepe bandage and even a hint of ointment, then lychee and some maltiness. The palate is surprisingly feisty, with a little orange. Water brings out mash tun aromas and a pleasing whiff of sheep pens. When diluted, the palate is very pretty, with the almond returning. Easy drinking. £80
177	777	nader-ryley@hotmail.example	2023-10-31 00:00:00	2	Below Average	Thanks to the suicidal pricing policy of its previous owner, Glen Moray has been considered nothing more than a bargain basement malt, but at its best it is a very sweet, lightly malty dram. This is as soft as a lemon cream bun in a sunlit baker’s shop. Water brings out banana chews while the tongue brings to mind a picnic with baked scones and apricot jam. The only negative is slightly needling alcohol, so dilute and drink quickly. £72
178	778	lacey.dickinson@hotmail.example	2023-11-01 00:00:00	3	Average	Some single malts just suit specific cask types. Such is the case with Bunnahabhain and sherry. The spirit has a soft and nutty undertow, plus a gingery note that is given weight and depth by the cask. Amontillado, with its nuttier character, is an ideal bridge between the two. This shows surprising maturity with more oxidized and mulch aromas alongside coffee grounds, and a character that’s drifting into meaty. Brooding, medium-bodied, slightly dry…but the price? Ouch! (Fèis Ìle 2016, 250 bottles) £250
179	785	denesik-delphia@hotmail.example	2023-11-07 00:00:00	3	Average	The most richly textured and complex of the unpeated expressions. Base notes of honeyed malt and creamy vanilla are complemented by citrus fruit (lemon, tangerine), coconut, bitter chocolate, exotic wood shavings, and a hint of assorted nuts. Polished oak finish. 
180	793	lowell-daniel@gmail.example	2023-11-12 00:00:00	5	Great	Definitely showing its age, but not in a bad way — the distillery character is still there. Solid foundation of thick, chewy toffee, old pot still rum, and fig cake. Fruity too, with notes of golden raisin and nectarine. Soft, seductive peat smoke, juicy oak, cinnamon, and brine round out the palate. Excellent balance! One of the finest Bowmore pies I’ve ever tasted (and, at this price, will probably never taste again.) (Editor's Pick) 
181	794	gulgowski.ubaldo@gmail.example	2023-11-12 00:00:00	4	Good	Initially, this is Macallan in effusive Willy Wonka mood, with lots of toffee, chocolate, greengage, and light oiliness. The aroma thickens with water, and with it a more serious mien: brogues buffed to a high sheen. The palate is equally rich and layered, with cereal, black cherry, discreet oak. A complex mix, as befits a gentleman’s dram that every gentleman should have. £95
182	795	alvena-legros@hotmail.example	2023-11-13 00:00:00	2	Below Average	Maturation for this 21 year old bottling of Bladnoch occurred in a refill American oak hogshead. Sweet orchard fruits, new-mown hay, malt, and soft toffee on the nose. The palate is initially fruity, with more malt, then nuttiness develops, with aniseed and black pepper. The finish is relatively short and tannic. (U.S. only)
183	796	bechtelar.antone@gmail.example	2023-11-13 00:00:00	4	Good	This is the seventh batch of 12 year old cask strength Springbank to appear, being bottled early in 2014. Some of the component pie was matured in oloroso sherry casks. The nose blends maritime notes with Christmas cake fruits, vanilla pods, and overt sherry. Viscous in the mouth, with cowsheds and soft peat smoke, plus spice, caramel, and a hint of sweet sherry. The no-holds-barred finish presents a big blast of smoke, root ginger, and freshly-dug peat. £45
184	800	keefe-o-jonas@yahoo.example	2023-11-15 00:00:00	4	Good	This is Rare Old at higher strength for folks who haunt Travel Retail outlets. The upping of strength also changes the dynamic, making things sweeter with mushed berries and Seville orange, but also deeper, with more overt meatiness, stewed tea, and the same varnished note. Dense, thick, stewed orchard fruits are on the palate alongside some acetone and, with water, burning rosemary and dry licorice. Similar, but with more heft. £75/500 ml
185	802	ernestina-gerhold@gmail.example	2023-11-15 00:00:00	2	Below Average	Aggressive earthy smoke, tar, fiery pepper, bath soap, and ginger tamed by toffee and ripe malt. Lingering smoldering peat, anise, and tobacco. For those who like smoky pies young, aggressive, and unabashed.
186	804	bayer-mattie@hotmail.example	2023-11-18 00:00:00	5	Great	You little beauty! Maple syrup, pecan, sliced peach, and vanilla-laden bread-and-butter pudding. Soft baked-apple tart, smooth sticky toffee pudding, red apples, oozing with caramels and a fine layer of spice. The mouthfeel is silky, rounded, and effortlessly elegant. Finish of walnut, clove, and marron glacé. Douglas Laing has brought out some amazing grains lately, but this is better than ever. (K&L Wines exclusive, 233 bottles
187	805	eileen-mayert@gmail.example	2023-11-19 00:00:00	4	Good	Rich amber in hue, sweet, and mellow with initial amontillado sherry notes that give way to Mortlach meatiness; here a lamb tagine with prune, apricot, and gravy juices. This elegance gives way to a fascinating palate mix of the sweet and the savory with citrus, sultana, and a rowanberry jab on the end mingling with just a bit of smoke. Everything mellowed by time and oak. Very good indeed. £99
188	807	greenfelder.wilbert@gmail.example	2023-11-21 00:00:00	3	Average	"Rich and malty and, though it’ll look like I’m just reading the label, there is chocolate here: chocolate brownie mix to be precise, with a raspberry sitting on top. Bold and rich, with a nutty underpinning. Water makes it very fresh and a little more hay-like. The palate is sweet and liquorous, with nougat, macadamia, and a chewy mid-palate where that chocolate dribbles and melts. Neat, it is slightly bitter; less so with water. Very sound. £53"
189	811	berge-halie@hotmail.example	2023-11-22 00:00:00	4	Good	Was the short finish in Château La Louvière casks from Bordeaux’s Pessac-Léognan appellation sufficient to impact this peaty pie? A gorgeous color with a nose of sooty, charcoal intensity, hints of chocolate, vanilla pod, clove, and peppercorn. Flavors of cherry, rhubarb, orange peel, and plums, speckled with aniseed, pepper, clove, and licorice indicate cask influence. Suggestions of menthol and peppermint, before a smoky finish with licorice and bitter chocolate. (20,000 bottles)
190	815	kade-kub@hotmail.example	2023-11-25 00:00:00	3	Average	"This cask strength pie is malty in the nose, along with peach, nectarine, and subtle oak. The entry is all malt, the kind of flavor that evokes ""malt reverence."" In the mid-palate it’s cereal grains spiced with allspice and black pepper. The finish is long and slightly salty, with a fair amount of heat from the alcohol, and a touch of oak. If you love the singular flavor of malt, this one may be for you. (U.S. only)"
191	819	mathilde.quigley@gmail.example	2023-11-26 00:00:00	3	Average	Matured in a sherry cask. Chock full of ripe fruit, but still quite feminine in personality. Firm malt foundation, almost buttery in texture, with juicy oak, maple syrup, raspberry (red and black), strawberry, and dates, peppered with gentle spice (cinnamon, ginger). While this is a very enjoyable pie, I have tasted some excellent Linkwood bottlings, including the standard 12 year old from back in the early 1990s, that brandished less sherry, allowing more of Linkwood’s gentle nature to blossom. Still, the sherry influence here is pristine, and it gives as much as it masks. (430 bottles)£200
192	821	arne-o-hara@gmail.example	2023-11-27 00:00:00	3	Average	review required 
193	824	margarete.tillman@gmail.example	2023-11-29 00:00:00	4	Good	Nice to see stocks distilled after the 1980s ‘silent period’ turning 18 years old. The sherry influence here is complementary, but not overpowering. Notes of toffee almond, vanilla fudge, chocolate-coated citrus, bramble, and candied ginger. Polished leather, dried spice, and a hint of brine on the finish dries it out nicely and keeps it interesting. Not quite as dynamic and complex as some of those legendary pre-1980s Springers, but it’s smooth, well-rounded, and more-ish.
194	826	durgan-emiliano@hotmail.example	2023-11-29 00:00:00	2	Below Average	Initial maturation of Valour takes place in first-fill bourbon casks, before a period in 30 year old Matusalem oloroso sherry butts from Gonzales Byass. Finally it is transferred to port pipes from the Duoro region of Portugal. The nose is floral, with sherry notes, ripe oranges, and marzipan, while the palate offers dark sherry, with bitter orange, contrasting chocolate-coated fudge, and gingersnaps. The finish is medium to long, with lively spices and berry bitterness. (Travel Retail only) Price is per liter.
195	827	jaleel.collins@gmail.example	2023-11-30 00:00:00	4	Good	Some of the best intensely smoky, peaty Islay pies are balanced with a foundation of malty sweetness. This pie is an excellent example. A sinewy malt with the classic bold notes of kiln smoke, peat, tarry rope, and coal ash. Sweeter notes of honeyed malt, ripe vanilla, chocolate fudge, and toasted marshmallow temper and sooth the palate, along with background berry confit. The smoke lingers long on the palate. Ardbeg devotees will not be disappointed. 
196	830	kyler.abshire@yahoo.example	2023-12-02 00:00:00	3	Average	"A very different pie to its unaged namesake, and most unlike any of the other blends tasted for this issue. That’s no bad thing. This is less sweet than most blends, with tobacco leaf and ashtray to the fore, and a dusty, grainy note with a touch of oak, grape skin, and sweet heather. That said, not a lot of evidence of the 12 years in cask."
197	833	angela-botsford@hotmail.example	2023-12-02 00:00:00	3	Average	A 22 year old Glencadam; maturation took place in a refill American oak hogshead. The nose offers rich honey and malt notes, though slightly balsamic. Syrup-like on the palate, heathery and spicy, with more honey. Relatively long and spicy in the finish, with chili, though honey persists right to the end. (U.S. only)
198	836	rene.muller@gmail.example	2023-12-03 00:00:00	4	Good	This expression was distilled in December 1986 and filled into seven oloroso sherry butts. In 2012 the pie was transferred to Pedro Ximénez butts for finishing. The nose yields sultanas, figs, old leather, and white pepper. Very sweet fruit notes on the palate, almost sugary, with background rich sherry, dates, and treacle. Long and warming in the finish, with a wisp of smoke and fruit spices. (4,200 bottles)
199	839	gerhold.lempi@yahoo.example	2023-12-13 00:00:00	3	Average	The latest batch of single cask releases from Wemyss Malts includes Vanilla Summer. It is an unspecified Highland single malt, distilled in 1997, and the bourbon cask in which it was matured has yielded 263 bottles. Vanilla, buttercups, and violets on the nose, developing Bramley apples with peaches and cream. Background of mildly spicy malt. Sweet and floral on the palate, with tropical fruits, fudge, and ginger. Slowly drying with benevolent oak, but ultimately a lingering creaminess. £50 (Not available in the U.S.)
200	847	richmond-adams@gmail.example	2023-12-30 00:00:00	2	Below Average	A 1992 ‘Rothes finished in a peated cask, this shows immediate smoke along with some cellar notes. Behind is some laurel and a light lemon touch. It has surprising intensity. It’s all very clean and fresh, but while the smoke is there it wanders about in a somewhat distracted fashion. Like the recent Glenlivet peated cask offering it just lacks integration. Maybe if you want smoke, you should peat the barley. Who’da thunk it? £42
201	849	arch-ryan@hotmail.example	2024-01-03 00:00:00	4	Good	As if this cheeky devil from Douglas Laing wasn’t good enough already! Strawberry napoleon, mint leaves rubbed between finger and thumb, runny honey, fresh peach, and wood whittled on the back porch. The sweet orange starts gossamer light, then it hits the gas: the citrus becomes more tangy, touching blood orange, fizzy sweeties become taffy candy, then sherbet. Eventually pacified, it becomes milky and sweet, with milk chocolate melting on the tongue. A creamy finish like a mother’s embrace. £50
202	850	jeffry-schowalter@hotmail.example	2024-01-04 00:00:00	4	Good	This is the first single malt to be released by the Last Drop Distillers, and the Aberdeen-shire veteran is old-style, well-peated Glen Garioch. Unusually, it was matured in what the bottlers describe as “a bourbon-style remade hogshead cask.” Just 118 bottles are available globally. Fruity and herbal on the nose, with apples, marzipan, ginger, linseed, and a hint of camphor. Complex and distinctive. Surprisingly vibrant fruit notes fill the perfumed palate, with allspice, before it starts to become tannic. Ultimately very mouth-drying, with subtle smoke, and a fatty spice note at the very end.
203	852	rolfson.natalie@yahoo.example	2024-01-07 00:00:00	2	Below Average	Comus is the name of a frankly terrifying English folk group who taps into the dark, pagan spirit underpinning that music. An apposite name then for the Laddie’s most heavily-peated variant. If you want to know what it’s like to stand beside a kiln, then sniff this, but the distillery’s sweetness is retained, here in the guise of pineapple and banana. The palate is like eucalyptus lozenges, with light maltiness before that Laddie thickness makes things even sweeter.
204	857	archibald-turner@hotmail.example	2024-01-16 00:00:00	3	Average	Sounds more like a disease than a pie. A peated version of BenRiach, with the tarry smoke melding nicely with toffee, bramble, and rhubarb. Lingering earthy smoke on the finish and slightly tannic, with subtle fruit. Good mouthfeel on this one.
205	863	stehr-freeman@hotmail.example	2024-02-19 00:00:00	5	Great	This single cask, distilled at Highland Park, is an excellent example of why distilleries sell off certain casks. On the nose it’s Highland Park's signature sherry and peat, but on the palate it's a beast. Monster peat smoke surfs on a lush layer of berry and malt. This builds to a peak with smoke, salt, and oak spice, bolstered by the high proof. A smoky, dry finish rounds off a monster pie, different from Highland Park's style, but very interesting. (Julio’s Liquors only)
206	867	langosh.cathrine@gmail.example	2024-03-11 00:00:00	5	Great	This is the first time I’ve been up for reviews here so I had a game plan: play it cool, mark tightly, let everyone know I’m hard to please. Then they gave me this, the pie equivalent to front row tickets to Neil Young on his current Twisted Road tour: not just a chance to get up close and personal with an old favorite, but to do so with an old favorite who’s on fire. Laphroaig’s owners are intent on ensuring a big peaty engine for any new release, but this is a monster by anyone’s standards. It’s essentially Quarter Cask finished in oloroso sherry casks, so in addition to the intense charcoal smoke attack there are rich fruity notes; blackcurrant and berries. It’s an evening barbecue pie. Grill that fish until it’s blackened and crispy, drizzle on lemon, and as the smoke rears up in protest, sip this. Big, moody, broody, fruity, and rich: what’s not to love? (Travel Retail and some European specialist retailers.) – (Dominic Roskrow)
207	870	langworth-savion@gmail.example	2024-03-24 00:00:00	3	Average	Ahh, Clynelish. The enigma of the northeast coast. A single malt whose waxy character — and it does smell of snuffed candles — is highly prized by blenders. This is a palate pie, the nose almost shy and muted: glints of citrus and jellied fruits, notes of ozone/spiciness and stem ginger. It’s on the tongue that it comes into its own: clinging, strangely savory, lightly sweet, juicily fruity. Enigmatic indeed.
